Expense ID,Expense Type,Expense Date,Cost / Expense ($),Contact ID,Contact Name,Customer Name,Department,Payment Method,Invoice Number,Approval Status
EXP-50199,Office Supplies,2025-05-12,1118,CUST-10988,Joanna Wong,Garcia Group,Sales,Cheque,INV-90199,Approved
EXP-50200,Event Sponsorship,2025-05-21,8073,CUST-10446,Jennifer Harris,Anderson Inc,IT,Direct Debit,INV-90200,Rejected
EXP-50201,Office Supplies,2025-04-25,11751,CUST-10449,Jessica Sandoval,Fleming-Lee,Operations,Bank Transfer,INV-90201,Pending
EXP-50202,Marketing,2025-07-06,18328,CUST-10616,Gary Gonzales,Reynolds-Woods,Marketing,Credit Card,INV-90202,Pending
EXP-50203,Software Subscription,2025-03-05,17057,CUST-10578,Alexandra Anderson,"Scott, Perez and Cohen",Operations,Cheque,INV-90203,Pending
EXP-50204,Office Supplies,2025-06-04,6934,CUST-10787,Alex Herrera,Williams and Sons,Finance,Cheque,INV-90204,Rejected
EXP-50205,Travel,2025-03-21,12004,CUST-10564,Katie Berry,Lewis-Patel,Operations,Bank Transfer,INV-90205,Pending
EXP-50206,Software Subscription,2025-08-15,17944,CUST-10933,Zachary Hood,Allen-Fuller,IT,PayPal,INV-90206,Rejected
EXP-50207,Office Supplies,2025-03-17,14081,CUST-10652,Pamela Reyes,Mendoza-Singleton,IT,Cheque,INV-90207,Approved
EXP-50208,Travel,2025-03-28,2099,CUST-10132,Rita Hopkins,"Scott, Perez and Cohen",Sales,Bank Transfer,INV-90208,Pending
EXP-50209,Office Supplies,2025-01-26,16675,CUST-10191,Amy Hernandez,Hodges-Kirk,Marketing,Credit Card,INV-90209,Approved
EXP-50210,Marketing,2025-06-24,2243,CUST-10568,Christopher Murphy,Freeman-Hunt,Sales,PayPal,INV-90210,Approved
EXP-50211,Software Subscription,2025-02-05,5060,CUST-10665,Kelli Patel,Hernandez Ltd,Marketing,Cheque,INV-90211,Pending
EXP-50212,Travel,2025-08-22,1470,CUST-10423,Patrick Nichols,"Rogers, Figueroa and Patton",Operations,Cheque,INV-90212,Pending
EXP-50213,Marketing,2025-03-13,11331,CUST-10033,Adam Moore,"Ryan, Murphy and Williamson",Sales,Direct Debit,INV-90213,Approved
EXP-50214,Software Subscription,2025-06-11,1964,CUST-10311,James Walter,Gutierrez LLC,Sales,Cheque,INV-90214,Pending
EXP-50215,Travel,2025-07-03,15597,CUST-10373,Adam Stevens,Walton-Hoover,IT,Credit Card,INV-90215,Rejected
EXP-50216,Marketing,2025-06-12,17826,CUST-10147,William Mack,Edwards-Day,Operations,Cheque,INV-90216,Approved
EXP-50217,Marketing,2025-06-20,16196,CUST-10052,Jesse Kim,Buchanan and Sons,Marketing,Bank Transfer,INV-90217,Pending
EXP-50218,Software Subscription,2025-03-10,10708,CUST-10698,Lawrence Goodman,Rodriguez Group,Operations,Direct Debit,INV-90218,Rejected
EXP-50219,Marketing,2025-06-07,15724,CUST-10875,Jessica Ryan,Hinton-Dixon,Sales,Credit Card,INV-90219,Approved
EXP-50220,Software Subscription,2025-03-21,6807,CUST-10352,Frank Armstrong,Tanner-Brown,Marketing,PayPal,INV-90220,Approved
EXP-50221,Event Sponsorship,2025-01-23,17630,CUST-10291,Christopher Craig,"Moore, Lopez and Gomez",Sales,Cheque,INV-90221,Pending
EXP-50222,Event Sponsorship,2025-08-28,10765,CUST-10668,Cindy Adams,"Kelly, Davis and Nolan",Operations,Credit Card,INV-90222,Rejected
EXP-50223,Marketing,2025-03-26,11274,CUST-10083,Tiffany Lopez,Rogers LLC,IT,Credit Card,INV-90223,Approved
EXP-50224,Event Sponsorship,2025-08-19,5766,CUST-10345,Stephen Oconnor,Hicks-Owen,Finance,Bank Transfer,INV-90224,Approved
EXP-50225,Software Subscription,2025-08-15,1433,CUST-10827,Jason Frederick,Morris-Murphy,Sales,Bank Transfer,INV-90225,Approved
EXP-50226,Event Sponsorship,2025-08-24,15860,CUST-10924,Dr. Scott Duncan,"Wiley, Perez and Ruiz",IT,Bank Transfer,INV-90226,Rejected
EXP-50227,Marketing,2025-05-07,2249,CUST-10269,Karen Fowler,"Baxter, Thomas and Cordova",Finance,Credit Card,INV-90227,Rejected
EXP-50228,Software Subscription,2025-01-30,8231,CUST-10099,Steven Carroll,"Evans, Williams and Simpson",IT,Credit Card,INV-90228,Rejected
EXP-50229,Travel,2025-02-08,9180,CUST-10552,Christopher Copeland,Patton and Sons,Operations,Credit Card,INV-90229,Pending
EXP-50230,Event Sponsorship,2025-05-06,838,CUST-10165,Jessica Moore,"Ross, Doyle and Burton",Finance,Bank Transfer,INV-90230,Pending
EXP-50231,Marketing,2025-02-04,19080,CUST-10904,David Avery,"Ashley, Garrett and Morrison",Sales,Direct Debit,INV-90231,Approved
EXP-50232,Software Subscription,2025-07-07,6447,CUST-10706,Christine Coleman,"Ramirez, Gates and Stephenson",Sales,PayPal,INV-90232,Approved
EXP-50233,Travel,2025-02-24,10589,CUST-10301,Howard Harris,"Douglas, Hill and Hancock",Marketing,Direct Debit,INV-90233,Approved
EXP-50234,Office Supplies,2025-03-16,1685,CUST-10193,Katherine Garza,"Munoz, Rogers and Nunez",Operations,Bank Transfer,INV-90234,Rejected
EXP-50235,Software Subscription,2025-08-20,859,CUST-10245,Joseph Shaw,Suarez LLC,Operations,Direct Debit,INV-90235,Approved
EXP-50236,Marketing,2025-03-19,1803,CUST-10135,Cheryl Mcclure,King-Buchanan,Operations,Cheque,INV-90236,Rejected
EXP-50237,Office Supplies,2025-07-02,9310,CUST-10621,Lance Fuller,Price and Sons,Marketing,Bank Transfer,INV-90237,Pending
EXP-50238,Event Sponsorship,2025-03-18,7076,CUST-10228,Lisa Mccoy,"Peterson, Wright and Hamilton",Operations,Bank Transfer,INV-90238,Approved
EXP-50239,Event Sponsorship,2025-07-13,12268,CUST-10266,Christopher Fox,Fernandez LLC,IT,Bank Transfer,INV-90239,Rejected
EXP-50240,Event Sponsorship,2025-07-05,12375,CUST-11000,Jessica Hays,"Klein, Rodriguez and Chapman",IT,Credit Card,INV-90240,Pending
EXP-50241,Office Supplies,2025-02-12,315,CUST-10589,Heather Taylor,Bailey Group,Sales,Credit Card,INV-90241,Pending
EXP-50242,Software Subscription,2025-08-09,18511,CUST-10264,Jacqueline Smith,Schultz-Vargas,Marketing,Cheque,INV-90242,Pending
EXP-50243,Event Sponsorship,2025-04-05,8068,CUST-10063,Laura Miller,Singleton-Joseph,IT,Bank Transfer,INV-90243,Approved
EXP-50244,Travel,2025-05-28,18896,CUST-10305,Juan Mullins,Johnston Inc,Sales,Bank Transfer,INV-90244,Pending
EXP-50245,Event Sponsorship,2025-04-18,2421,CUST-10581,Phillip Fuller,Rodgers LLC,IT,Credit Card,INV-90245,Pending
EXP-50246,Software Subscription,2025-06-12,10034,CUST-10065,Kari Moore,"Benson, Bright and Sandoval",Finance,Cheque,INV-90246,Pending
EXP-50247,Travel,2025-05-15,2270,CUST-10955,Keith Mercer,"Hess, Moreno and Miller",Operations,PayPal,INV-90247,Rejected
EXP-50248,Event Sponsorship,2025-05-15,8227,CUST-10304,James Perez MD,Steele Inc,Finance,PayPal,INV-90248,Pending
EXP-50249,Office Supplies,2025-05-29,5333,CUST-10786,Teresa Morrow,"Santiago, Hall and Lara",Operations,Direct Debit,INV-90249,Pending
EXP-50250,Software Subscription,2025-03-09,11534,CUST-10956,Jessica Villarreal,Powell-Benitez,Sales,Bank Transfer,INV-90250,Pending
EXP-50251,Software Subscription,2025-03-07,3023,CUST-10270,Teresa Thomas,Chan Ltd,Finance,Bank Transfer,INV-90251,Pending
EXP-50252,Software Subscription,2025-08-11,9561,CUST-10748,Brittney Gordon,"Parrish, Miller and Cooper",Finance,Direct Debit,INV-90252,Rejected
EXP-50253,Event Sponsorship,2025-03-05,7743,CUST-10039,Christopher Jackson,"Sexton, Banks and Diaz",Finance,PayPal,INV-90253,Pending
EXP-50254,Event Sponsorship,2025-05-11,10216,CUST-10132,Amy Soto,Griffith LLC,IT,Cheque,INV-90254,Rejected
EXP-50255,Office Supplies,2025-08-06,5517,CUST-10514,Mitchell Barnes,Dunn-Anderson,Finance,Credit Card,INV-90255,Rejected
EXP-50256,Event Sponsorship,2025-03-19,13096,CUST-10077,Amy Evans,Perez LLC,Finance,Credit Card,INV-90256,Rejected
EXP-50257,Event Sponsorship,2025-01-29,5631,CUST-10154,Stephanie Salazar,"Erickson, Jones and Reyes",Sales,Bank Transfer,INV-90257,Pending
EXP-50258,Event Sponsorship,2025-03-24,8698,CUST-10623,Sabrina Mcpherson,"Gardner, Romero and Kemp",Operations,Credit Card,INV-90258,Rejected
EXP-50259,Event Sponsorship,2025-03-13,329,CUST-10572,Mr. Mark Dunn,Key-Anderson,Operations,PayPal,INV-90259,Approved
EXP-50260,Office Supplies,2025-04-30,10377,CUST-10065,Scott Johnston,Hernandez PLC,Operations,Direct Debit,INV-90260,Approved
EXP-50261,Software Subscription,2025-01-21,1185,CUST-10579,Anthony Montgomery,"Sexton, Banks and Diaz",Operations,PayPal,INV-90261,Approved
EXP-50262,Marketing,2025-05-26,11623,CUST-10799,Jessica Powell,Aguilar-Crawford,Sales,Direct Debit,INV-90262,Approved
EXP-50263,Event Sponsorship,2025-02-22,14017,CUST-10862,Noah Kent,Cline-Cook,Finance,PayPal,INV-90263,Approved
EXP-50264,Marketing,2025-02-09,2013,CUST-10380,Katrina Foster,Hodges-Kirk,Sales,PayPal,INV-90264,Pending
EXP-50265,Event Sponsorship,2025-03-07,19308,CUST-10448,Stephen Smith,James Group,Operations,Credit Card,INV-90265,Rejected
EXP-50266,Office Supplies,2025-06-10,19664,CUST-10815,Mark Harvey,King-Buchanan,Operations,Cheque,INV-90266,Rejected
EXP-50267,Software Subscription,2025-02-07,12137,CUST-10992,Jonathan Mcknight,Lindsey LLC,Finance,PayPal,INV-90267,Approved
EXP-50268,Software Subscription,2025-01-25,19911,CUST-10596,Susan Gonzales,"Scott, Perez and Cohen",Operations,Cheque,INV-90268,Pending
EXP-50269,Office Supplies,2025-05-17,19388,CUST-10652,Stephen Boyle,Howell-Lawson,Operations,Direct Debit,INV-90269,Pending
EXP-50270,Software Subscription,2025-04-26,4414,CUST-10283,James Gonzales,Allen Ltd,Marketing,Direct Debit,INV-90270,Pending
EXP-50271,Travel,2025-04-24,4384,CUST-10624,Erin Roberts,Dixon and Sons,Operations,Bank Transfer,INV-90271,Approved
EXP-50272,Software Subscription,2025-08-30,10505,CUST-10729,Debra Williams,Caldwell Ltd,Operations,Credit Card,INV-90272,Approved
EXP-50273,Marketing,2025-01-13,16473,CUST-10833,Audrey Smith,Reid-Bowman,Finance,Direct Debit,INV-90273,Pending
EXP-50274,Event Sponsorship,2025-06-14,7789,CUST-10640,Alejandra Carlson,Harris-Brown,Operations,Cheque,INV-90274,Rejected
EXP-50275,Event Sponsorship,2025-07-29,11635,CUST-10399,Dave Banks,"Lee, Taylor and Roman",Marketing,Bank Transfer,INV-90275,Rejected
EXP-50276,Software Subscription,2025-06-18,9226,CUST-10960,Christopher Blackwell,Benson Ltd,Marketing,Cheque,INV-90276,Rejected
EXP-50277,Office Supplies,2025-07-22,10889,CUST-10582,Elizabeth Figueroa,Snyder-Chang,Marketing,Bank Transfer,INV-90277,Pending
EXP-50278,Office Supplies,2025-06-05,8442,CUST-10480,Derrick Bennett,"Reed, Soto and Cooper",Operations,Credit Card,INV-90278,Rejected
EXP-50279,Marketing,2025-06-30,14696,CUST-10882,Rachel Robinson,Steele Inc,Operations,Direct Debit,INV-90279,Approved
EXP-50280,Event Sponsorship,2025-05-24,16349,CUST-10280,James Oconnor,"Gardner, Ford and Wells",Sales,Direct Debit,INV-90280,Rejected
EXP-50281,Event Sponsorship,2025-06-13,7339,CUST-10203,Selena Wilkerson,Allen-Fuller,Sales,Bank Transfer,INV-90281,Rejected
EXP-50282,Event Sponsorship,2025-07-11,1270,CUST-10819,Aaron Tran,Reyes-Gordon,Finance,Credit Card,INV-90282,Rejected
EXP-50283,Software Subscription,2025-06-25,5366,CUST-10599,James Gamble,Jackson-Vasquez,IT,Cheque,INV-90283,Pending
EXP-50284,Travel,2025-05-29,1729,CUST-10760,Miranda Rocha,Landry and Sons,Operations,PayPal,INV-90284,Rejected
EXP-50285,Marketing,2025-05-18,9464,CUST-10351,Cody Perkins,Hensley Ltd,Sales,Cheque,INV-90285,Rejected
EXP-50286,Software Subscription,2025-03-13,12443,CUST-10284,Kenneth Daniels,Powell-English,Finance,Bank Transfer,INV-90286,Pending
EXP-50287,Office Supplies,2025-02-22,7609,CUST-10316,Shelley Barnett,Dixon and Sons,Finance,Cheque,INV-90287,Approved
EXP-50288,Marketing,2025-06-03,12575,CUST-10385,Thomas Roth,"Hess, Moreno and Miller",Finance,Cheque,INV-90288,Pending
EXP-50289,Office Supplies,2025-06-23,13265,CUST-10613,Nathan Daugherty,Page-Warner,Finance,PayPal,INV-90289,Approved
EXP-50290,Software Subscription,2025-07-04,14625,CUST-10980,Kevin Powers,Jordan-Lee,Sales,Bank Transfer,INV-90290,Pending
EXP-50291,Travel,2025-06-01,998,CUST-10968,Tyler Jones,"Morris, Tate and Woods",IT,Cheque,INV-90291,Approved
EXP-50292,Software Subscription,2025-07-07,10578,CUST-10216,John Lopez,Smith Group,Marketing,Credit Card,INV-90292,Approved
EXP-50293,Event Sponsorship,2025-05-23,16204,CUST-10722,Kyle Carter,"Kelley, Martinez and Miranda",Finance,Cheque,INV-90293,Rejected
EXP-50294,Marketing,2025-08-10,6535,CUST-10982,Kimberly Smith,"Duncan, Powers and Thompson",Marketing,Direct Debit,INV-90294,Rejected
EXP-50295,Event Sponsorship,2025-02-12,8270,CUST-10475,Marilyn Choi,Strickland Ltd,Finance,Cheque,INV-90295,Rejected
EXP-50296,Software Subscription,2025-01-21,7459,CUST-10139,Michelle Collins,"Ross, Doyle and Burton",Operations,Direct Debit,INV-90296,Rejected
EXP-50297,Marketing,2025-05-13,13484,CUST-10915,Kevin Duran,Miller Ltd,Sales,PayPal,INV-90297,Approved
EXP-50298,Office Supplies,2025-08-31,3534,CUST-10893,Shannon Moore,"Duncan, Powers and Thompson",Finance,Direct Debit,INV-90298,Rejected
EXP-50299,Event Sponsorship,2025-06-27,11252,CUST-10085,James Duran,Steele Inc,Finance,PayPal,INV-90299,Rejected
EXP-50300,Office Supplies,2025-01-03,3231,CUST-10790,Cheyenne Torres,Harris-Walsh,Operations,Cheque,INV-90300,Rejected
EXP-50301,Event Sponsorship,2025-05-05,2286,CUST-10271,Joshua Farley,Jacobson PLC,Sales,Bank Transfer,INV-90301,Rejected
EXP-50302,Travel,2025-05-02,10394,CUST-10482,Michelle Rosales,Jacobson PLC,Finance,Direct Debit,INV-90302,Approved
EXP-50303,Software Subscription,2025-04-25,18826,CUST-10135,Eugene Middleton,"Baxter, Thomas and Cordova",Sales,Direct Debit,INV-90303,Rejected
EXP-50304,Office Supplies,2025-03-16,15330,CUST-10903,Johnny Jackson,"Daniels, Hubbard and Sweeney",IT,Cheque,INV-90304,Pending
EXP-50305,Marketing,2025-03-15,997,CUST-10076,Kelly Martinez,Gutierrez LLC,Operations,Credit Card,INV-90305,Approved
EXP-50306,Software Subscription,2025-02-20,19455,CUST-10944,Sarah Scott,Chandler Group,Marketing,Credit Card,INV-90306,Pending
EXP-50307,Marketing,2025-01-09,1231,CUST-10731,Frank Webster,Mitchell-Mendez,IT,PayPal,INV-90307,Approved
EXP-50308,Office Supplies,2025-03-04,10743,CUST-10351,Stephanie Jennings,Young Ltd,IT,Bank Transfer,INV-90308,Rejected
EXP-50309,Office Supplies,2025-08-06,3468,CUST-10435,Donald Sharp,Waters PLC,IT,Direct Debit,INV-90309,Pending
EXP-50310,Travel,2025-01-24,3612,CUST-10807,Diane White,"Reynolds, Joyce and Mercer",Marketing,Credit Card,INV-90310,Pending
EXP-50311,Travel,2025-05-06,12302,CUST-10593,Andrea Hernandez,"Herrera, Morton and Bell",Operations,PayPal,INV-90311,Pending
EXP-50312,Marketing,2025-02-21,3648,CUST-10021,Carlos Jackson,"Franklin, Chung and Perez",Operations,Cheque,INV-90312,Pending
EXP-50313,Software Subscription,2025-08-05,555,CUST-10099,Brian Hernandez,Green LLC,Sales,Direct Debit,INV-90313,Approved
EXP-50314,Event Sponsorship,2025-07-08,4761,CUST-10988,Kevin Wilson,"Moore, Lopez and Gomez",IT,PayPal,INV-90314,Rejected
EXP-50315,Event Sponsorship,2025-02-02,12326,CUST-10834,Wendy Mahoney,"Rhodes, Foster and Martinez",Marketing,Direct Debit,INV-90315,Rejected
EXP-50316,Travel,2025-04-09,5117,CUST-10568,Matthew Padilla,Mcmahon-Smith,Finance,Cheque,INV-90316,Approved
EXP-50317,Marketing,2025-05-11,4961,CUST-10407,Jessica Shaffer,Thomas PLC,Finance,Cheque,INV-90317,Approved
EXP-50318,Marketing,2025-01-15,17558,CUST-10945,Mrs. Michelle Richardson,Brennan Group,Sales,PayPal,INV-90318,Pending
EXP-50319,Software Subscription,2025-06-16,11281,CUST-10482,Angela Key,"Adams, Osborne and Hall",Finance,Direct Debit,INV-90319,Rejected
EXP-50320,Travel,2025-05-04,15737,CUST-10815,Micheal Jacobs,Leon and Sons,Finance,Cheque,INV-90320,Rejected
EXP-50321,Event Sponsorship,2025-03-20,18998,CUST-10447,Caitlin Fitzgerald,"Raymond, Lara and Daniel",Finance,Credit Card,INV-90321,Approved
EXP-50322,Office Supplies,2025-08-09,11792,CUST-10082,Matthew Skinner,Thomas Ltd,IT,PayPal,INV-90322,Pending
EXP-50323,Event Sponsorship,2025-05-07,7920,CUST-10265,Danielle Wilson,"Spears, Decker and Chavez",Operations,Direct Debit,INV-90323,Approved
EXP-50324,Office Supplies,2025-05-28,13884,CUST-10604,Jason Hill,Smith PLC,Marketing,Bank Transfer,INV-90324,Pending
EXP-50325,Travel,2025-07-04,11260,CUST-10668,Jeremy Wood,"Cruz, Sullivan and Howard",Finance,Direct Debit,INV-90325,Rejected
EXP-50326,Office Supplies,2025-03-24,4444,CUST-10493,Marcus Smith,Reyes-Kim,Marketing,Direct Debit,INV-90326,Pending
EXP-50327,Event Sponsorship,2025-02-02,11215,CUST-10233,Michael Byrd,"Wilkinson, Lane and Fields",Sales,PayPal,INV-90327,Pending
EXP-50328,Event Sponsorship,2025-08-23,10306,CUST-10209,Jeffrey Mercado,Aguilar-Crawford,IT,Credit Card,INV-90328,Rejected
EXP-50329,Marketing,2025-06-27,19412,CUST-10464,Jeffrey Smith,"Miranda, Martin and Erickson",Finance,Bank Transfer,INV-90329,Pending
EXP-50330,Office Supplies,2025-07-09,16660,CUST-10920,Rebecca Smith,Jackson-Cooper,Operations,Cheque,INV-90330,Pending
EXP-50331,Office Supplies,2025-05-05,8041,CUST-10712,David Daniels,"Jones, Hardy and Harris",IT,Bank Transfer,INV-90331,Approved
EXP-50332,Software Subscription,2025-04-07,10017,CUST-10773,Michael Jones,"Johns, Moore and Williams",Finance,Cheque,INV-90332,Rejected
EXP-50333,Event Sponsorship,2025-06-28,13154,CUST-10325,Samantha Hernandez,"Smith, Melendez and Huff",Sales,Bank Transfer,INV-90333,Approved
EXP-50334,Travel,2025-02-15,1524,CUST-10462,Melissa Cooley,Suarez LLC,Operations,Bank Transfer,INV-90334,Pending
EXP-50335,Marketing,2025-08-28,13795,CUST-10813,Elizabeth Nguyen,Serrano-Smith,IT,Credit Card,INV-90335,Rejected
EXP-50336,Event Sponsorship,2025-04-14,5720,CUST-10050,Danielle Jones,Anderson-Lowe,IT,Cheque,INV-90336,Pending
EXP-50337,Travel,2025-02-09,7162,CUST-10476,Brian Davis,"Jackson, Foster and Parker",IT,PayPal,INV-90337,Pending
EXP-50338,Marketing,2025-02-22,10216,CUST-10837,Melissa Douglas,Odom Inc,Finance,Direct Debit,INV-90338,Approved
EXP-50339,Office Supplies,2025-06-09,13611,CUST-10111,Kyle Smith,Taylor-White,Operations,PayPal,INV-90339,Pending
EXP-50340,Travel,2025-04-05,13957,CUST-10785,Charles Edwards,Lewis-Patel,IT,Direct Debit,INV-90340,Approved
EXP-50341,Event Sponsorship,2025-06-05,10479,CUST-10579,Thomas Ramirez,"Duarte, Reese and Gonzalez",Sales,Bank Transfer,INV-90341,Pending
EXP-50342,Travel,2025-04-06,8837,CUST-10502,Dr. Steven Cisneros DVM,Hale PLC,Sales,Bank Transfer,INV-90342,Approved
EXP-50343,Travel,2025-01-30,3905,CUST-10585,Rachel Kennedy,Taylor-Taylor,IT,PayPal,INV-90343,Approved
EXP-50344,Event Sponsorship,2025-07-22,17510,CUST-10999,Sara Williams DDS,Gallegos-Kennedy,Finance,Cheque,INV-90344,Approved
EXP-50345,Event Sponsorship,2025-02-05,7116,CUST-10320,Joshua Graham,Turner-Olson,Finance,Direct Debit,INV-90345,Approved
EXP-50346,Event Sponsorship,2025-05-13,15604,CUST-10099,Melissa Fisher,Gonzalez-Collins,Sales,PayPal,INV-90346,Rejected
EXP-50347,Software Subscription,2025-06-15,19899,CUST-10967,William Carrillo,"Clark, Ramirez and Chambers",Marketing,Cheque,INV-90347,Pending
EXP-50348,Office Supplies,2025-01-25,16628,CUST-10797,Adam Wright,Santiago-Vasquez,Operations,Direct Debit,INV-90348,Pending
EXP-50349,Office Supplies,2025-05-22,19645,CUST-10863,Ashley Adams,"Harrell, Conway and Tucker",Sales,Direct Debit,INV-90349,Rejected
EXP-50350,Event Sponsorship,2025-08-14,18945,CUST-10779,Doris Smith,Murray-Johnson,IT,Cheque,INV-90350,Rejected
EXP-50351,Event Sponsorship,2025-01-03,4522,CUST-10325,Matthew Richards,Ray and Sons,Marketing,Cheque,INV-90351,Rejected
EXP-50352,Marketing,2025-01-07,2840,CUST-10955,William Banks,Mcintosh Inc,Finance,Credit Card,INV-90352,Approved
EXP-50353,Office Supplies,2025-07-01,4484,CUST-10157,Heather Scott,Miller-York,Finance,PayPal,INV-90353,Approved
EXP-50354,Event Sponsorship,2025-04-18,17496,CUST-10021,Matthew King,Anderson and Sons,Operations,Cheque,INV-90354,Pending
EXP-50355,Travel,2025-06-29,7692,CUST-10821,Jessica Walker,Brennan Group,IT,PayPal,INV-90355,Rejected
EXP-50356,Event Sponsorship,2025-07-25,1542,CUST-10757,Matthew Mullins,"Keith, Cisneros and Hendricks",Finance,Bank Transfer,INV-90356,Approved
EXP-50357,Travel,2025-05-08,15106,CUST-10104,Leah Walker,Welch LLC,Finance,Credit Card,INV-90357,Rejected
EXP-50358,Software Subscription,2025-02-12,17647,CUST-10528,Todd Caldwell,Hodge Ltd,Sales,Bank Transfer,INV-90358,Pending
EXP-50359,Office Supplies,2025-07-31,5092,CUST-10404,Nicole Collins,Brown LLC,Finance,Direct Debit,INV-90359,Approved
EXP-50360,Office Supplies,2025-06-26,5059,CUST-10620,Olivia Russell DDS,Osborn-Sharp,Finance,PayPal,INV-90360,Pending
EXP-50361,Marketing,2025-02-07,2600,CUST-10950,Adam Palmer,"Beard, Cox and Nguyen",IT,Cheque,INV-90361,Rejected
EXP-50362,Marketing,2025-04-16,19188,CUST-10958,Pamela Mckenzie,"Anderson, Wilson and Fitzpatrick",Marketing,Direct Debit,INV-90362,Approved
EXP-50363,Event Sponsorship,2025-01-11,13099,CUST-10278,Jeremiah Orozco,Douglas PLC,Marketing,Direct Debit,INV-90363,Approved
EXP-50364,Office Supplies,2025-04-29,15545,CUST-10101,Leslie West,Cannon-Calhoun,Marketing,PayPal,INV-90364,Approved
EXP-50365,Event Sponsorship,2025-02-05,4269,CUST-10071,Lisa Abbott,Singh-Miller,IT,Cheque,INV-90365,Approved
EXP-50366,Travel,2025-08-08,7599,CUST-10070,Melanie Johnson,Ibarra Ltd,Sales,Cheque,INV-90366,Approved
EXP-50367,Office Supplies,2025-06-20,8454,CUST-10840,Carolyn Wilcox,Barker PLC,IT,Bank Transfer,INV-90367,Rejected
EXP-50368,Software Subscription,2025-07-24,9418,CUST-10331,Trevor Rivera,Morgan-Navarro,Sales,Cheque,INV-90368,Pending
EXP-50369,Office Supplies,2025-05-11,12385,CUST-10054,James Hernandez,Fisher LLC,Sales,PayPal,INV-90369,Pending
EXP-50370,Event Sponsorship,2025-04-25,2724,CUST-10649,Lucas Valentine,"Owens, Morrison and Clark",Sales,PayPal,INV-90370,Approved
EXP-50371,Event Sponsorship,2025-07-12,3368,CUST-10412,Brandy Collins,Salas-Wilkins,Operations,Bank Transfer,INV-90371,Pending
EXP-50372,Event Sponsorship,2025-01-17,4646,CUST-10838,Crystal Edwards,Tyler-Brown,IT,PayPal,INV-90372,Pending
EXP-50373,Software Subscription,2025-03-03,13757,CUST-10469,Allison Yates,"Meyers, King and Munoz",Operations,PayPal,INV-90373,Approved
EXP-50374,Software Subscription,2025-01-21,4981,CUST-10399,Benjamin Landry,Walsh-Powell,Finance,Bank Transfer,INV-90374,Rejected
EXP-50375,Travel,2025-02-01,17449,CUST-10001,Holly Shelton,Collins and Sons,Marketing,PayPal,INV-90375,Approved
EXP-50376,Event Sponsorship,2025-08-21,220,CUST-10439,Rhonda Patel,Berry-Bates,Finance,Bank Transfer,INV-90376,Approved
EXP-50377,Office Supplies,2025-05-03,7435,CUST-10975,Michelle Brooks,Mason-Curry,Marketing,Bank Transfer,INV-90377,Pending
EXP-50378,Event Sponsorship,2025-01-28,6363,CUST-10257,Bobby Martinez,"Carter, Turner and Wright",Sales,Direct Debit,INV-90378,Rejected
EXP-50379,Software Subscription,2025-07-26,17270,CUST-10395,Charles Le,Mendoza-Singleton,Finance,Bank Transfer,INV-90379,Rejected
EXP-50380,Office Supplies,2025-02-01,14650,CUST-10865,Adam Vargas,Horn-Owen,Sales,Direct Debit,INV-90380,Approved
EXP-50381,Marketing,2025-01-24,4999,CUST-10799,April Ramos,Burke Group,Sales,PayPal,INV-90381,Rejected
EXP-50382,Office Supplies,2025-04-16,16866,CUST-10575,Charles Compton,Garcia-Anderson,IT,PayPal,INV-90382,Pending
EXP-50383,Event Sponsorship,2025-05-05,18372,CUST-10276,James Madden,Brooks-Bolton,Sales,Cheque,INV-90383,Pending
EXP-50384,Office Supplies,2025-02-03,12401,CUST-10034,Jesse Franco,"Baldwin, Smith and Miller",Marketing,PayPal,INV-90384,Rejected
EXP-50385,Software Subscription,2025-08-30,9030,CUST-10633,Kelly Hartman,Carr-Alvarado,Operations,Credit Card,INV-90385,Pending
EXP-50386,Travel,2025-05-22,10529,CUST-10662,Kristen Scott,"Hughes, Fitzgerald and Scott",Sales,Bank Transfer,INV-90386,Approved
EXP-50387,Office Supplies,2025-05-26,15050,CUST-10496,Andrew Williams,Mcdonald-Fernandez,IT,Credit Card,INV-90387,Rejected
EXP-50388,Office Supplies,2025-05-03,2905,CUST-10866,Kimberly Mason,"Herrera, Morton and Bell",Sales,Direct Debit,INV-90388,Pending
EXP-50389,Software Subscription,2025-03-08,5931,CUST-10257,Emily Gill,"Keith, Cisneros and Hendricks",Sales,PayPal,INV-90389,Pending
EXP-50390,Office Supplies,2025-03-02,4440,CUST-10275,Joy Ware,Kelly PLC,Operations,PayPal,INV-90390,Rejected
EXP-50391,Software Subscription,2025-07-09,15889,CUST-10330,Paul Rivers,Hampton and Sons,IT,Credit Card,INV-90391,Approved
EXP-50392,Event Sponsorship,2025-02-08,2209,CUST-10453,Teresa Rice,"Lopez, Snyder and Kaufman",Finance,PayPal,INV-90392,Approved
EXP-50393,Office Supplies,2025-03-28,8811,CUST-10578,Laura Gonzales,"Montoya, Wilson and Jones",Marketing,PayPal,INV-90393,Rejected
EXP-50394,Travel,2025-02-04,9795,CUST-10103,Natalie Hughes,"Manning, Booth and Roberts",IT,PayPal,INV-90394,Approved
EXP-50395,Event Sponsorship,2025-03-03,1720,CUST-10212,Samantha Frank,Welch LLC,Operations,Credit Card,INV-90395,Rejected
